Fecha;WIPO1;acumu;D1;D2;D3;D4;D5;D6;
31/12/1970;914;914;0,001789576;0,066240299;0,006795938;0;0,002945217;0,206223011;0
31/12/1971;1317;2231;0,001801577;0;0,00867183;0,004982974;0,003892154;0,487792082;0,017876603
31/12/1972;1644;3875;0,001351182;0,05979287;0,005901384;0,025402778;0,004943498;0,467048711;0,033380562
31/12/1973;1794;5669;0,002215969;0,138928026;0,017363687;0,021456765;0;0,627224666;0,057654855
31/12/1974;2267;7936;0,001837578;0,09188925;0,000340464;0,026065345;0,006732966;0,662940393;0,07693528
31/12/1975;2656;10592;0;0,049362411;0;0,028686223;0,008097527;0,703216433;0,095255672
31/12/1976;3053;13645;0,00481033;0,14335331;0,010621156;0,037985815;0,018120981;0,601275273;0,120807098
31/12/1977;3124;16769;0,000702403;0,184776224;0,022403896;0,047756074;0,027942418;0,783728157;0,145153727
31/12/1978;3215;19984;0,009937334;0,238567902;0,031342757;0,062547287;0,038903094;0,906049477;0,166496956
31/12/1979;3140;23124;0,005546616;0,267460699;0,047020812;0,079572904;0,048842535;0,638847411;0,19036968
31/12/1980;3048;26172;0,018740241;0,201385012;0,048739824;0,078035946;0,05466256;0,802453691;0,218410483
31/12/1981;2758;28930;0,023139454;0,131939835;0,034226692;0,077740811;0,062118112;1;0,232787394
31/12/1982;3053;31983;0,017528363;0,079473605;0,036419683;0,081004802;0,065448415;0,974171678;0,245018712
31/12/1983;3081;35064;0,055133131;0,063158639;0,050535607;0,088214198;0,081772643;0,911013358;0,244048328
31/12/1984;3202;38266;0,075218159;0,117082265;0,07207499;0,099353086;0,103305023;0,807821139;0,259448519
31/12/1985;2935;41201;0,114491902;0,134429549;0,088560814;0,111311139;0,104371908;0,669114976;0,297437514
31/12/1986;3178;44379;0,170550878;0,137879749;0,11456629;0,125296044;0,120251802;0,750312765;0,346070036
31/12/1987;3176;47555;0,263613658;0,183093026;0,133518811;0,139951424;0,14482798;0,77113685;0,401673878
31/12/1988;2702;50257;0,207621326;0,226535633;0,154751109;0,151502168;0,169234194;0,631704266;0,441908367
31/12/1989;2408;52665;0,249805864;0,237510245;0,159430827;0,158403899;0,188705167;0,609871262;0,464039776
31/12/1990;2391;55056;0,167722542;0,56010761;0,178216454;0,168238182;0,196944493;0,451471004;0,505626245
31/12/1991;2177;57233;0,118077851;0,535804723;0,170772966;0,193726149;0,197028988;0,410549255;0,522483708
31/12/1992;1922;59155;0,10621129;0,487182224;0,189395037;0,196600652;0,22074078;0,260825699;0,281582495
31/12/1993;1889;61044;0,156142509;0,472933196;0,225023641;0,195853924;0,252292731;0,325719359;0,318074705
31/12/1994;2041;63085;0,176540238;0,448838282;0,266169772;0,217272494;0,299205945;0,203841963;0,359856779
31/12/1995;2183;65268;0,179887812;0,47828105;0,292515713;0,23367361;0,327929222;0,209572622;0,376771819
31/12/1996;2342;67610;0,225086404;0,507735187;0,324072095;0,254410284;0,357388195;0,243674079;0,395913416
31/12/1997;2260;69870;0,33901633;0,495885236;0,343865764;0,269512239;0,423972457;0,447838896;0,417781917
31/12/1998;2365;72235;0,43002445;0,470007883;0,347423951;0,272304123;0,418689873;0,404011461;0,44003455
31/12/1999;2418;74653;0,624899187;0,491479302;0,383586617;0,294741332;0,451912044;0,296823923;0,48165711
31/12/2000;2450;77103;0,89257293;0,514430595;0,426046474;0,321066758;0,498664485;0,059163001;0,509566253
31/12/2001;2206;79309;0,628810272;0,513201615;0,434576844;0,316632153;0,46274703;0,026312603;0,543508374
31/12/2002;2280;81589;0,489226728;0,535164131;0,386283263;0,310080643;0,495019806;0;0,56292782
31/12/2003;2652;84241;0,449381751;0,602473336;0,401812047;0,319005282;0,527538728;0,046410267;0,597677748
31/12/2004;2513;86754;0,49916626;0,69063395;0,484257818;0,371601786;0,599553261;0,142983978;0,641421696
31/12/2005;2670;89424;0,601974977;0,737407438;0,499715439;0,390648732;0,611453898;0,125751645;0,682901127
31/12/2006;2706;92130;0,721626426;0,788201817;0,520199082;0,414858555;0,647651185;0,273538077;0,723274983
31/12/2007;2645;94775;1;0,835233859;0,559807382;0,447050056;0,692659073;0,356148351;0,770966575
31/12/2008;2960;97735;0,862802965;0,844839109;0,542519865;0,446833969;0,69402814;0,255175754;0,793061177
31/12/2009;3000;100735;0,713002921;0,787464606;0,563362632;0,456607503;0,776685902;0,243109084;0,826969465
31/12/2010;3410;104145;0,682599067;0,922157191;0,680702924;0,545733488;0,80832955;0,320271197;0,870015858
31/12/2011;3902;108047;0,636235653;0,933867522;0,711646756;0,583097846;0,813241983;0,491908471;0,872501375
31/12/2012;4483;112530;0,489570352;0,951421149;0,718536371;0,608314939;0,774461806;0,410589612;0,89882208
31/12/2013;5195;117725;0,525914088;0,955562147;0,741668404;0,644626248;0,77824089;0,37717422;0,914876572
31/12/2014;5839;123564;0,606839647;1;0,770887701;0,686775855;0,82195322;0,371322491;0,918570288
31/12/2015;7099;130663;0,974869214;0,968994432;0,805036187;0,743092746;0,836221898;0,43597401;0,936868865
31/12/2016;9131;139794;0,755495807;0,974852193;0,849267393;0,799276917;0,870840266;0,548407926;0,951226538
31/12/2017;11476;151270;0,706006559;0,981282208;0,883176019;0,862539965;0,958096269;0,561443158;0,993866392
31/12/2018;11227;162497;0,578340697;0,975042945;0,920707092;0,925795593;0,998397207;0,370676783;1
31/12/2019;11377;173874;0,502249797;0,977059115;1;1;1;0,369304653;0,981697644
