Fecha;WIPO1;acumu;D1;D2;D3;D4;D5;D6;
31/12/1970;914;914;0'00178957615044391;0'0662402987424061;0'00679593759635935;0;0'00294521734770817;0'206223011420961;0
31/12/1971;1317;2231;0'00180157657684159;0;0'00867182999771197;0'00498297446871276;0'00389215438745791;0'487792082004924;0'017876602793369
31/12/1972;1644;3875;0'00135118243263121;0'0597928701741805;0'00590138392453994;0'025402777790339;0'00494349765566659;0'467048710601719;0'0333805622330644
31/12/1973;1794;5669;0'00221596944185887;0'138928026053039;0'0173636873164348;0'0214567646611478;0;0'627224666047863;0'057654855152422
31/12/1974;2267;7936;0'00183757785603475;0'0918892495158446;0'000340464457184997;0'0260653453383956;0'00673296550670762;0'662940393074781;0'0769352802569389
31/12/1975;2656;10592;0;0'0493624106118157;0;0'0286862233714736;0'00809752746029267;0'703216433270108;0'0952556717310799
31/12/1976;3053;13645;0'00481033046954199;0'143353310451446;0'0106211559094378;0'0379858152521313;0'0181209806577152;0'601275273417006;0'12080709806845
31/12/1977;3124;16769;0'000702403098562212;0'184776224441166;0'0224038964375068;0'0477560740978446;0'0279424180314226;0'783728156907058;0'145153726553702
31/12/1978;3215;19984;0'00993733385345242;0'238567902347127;0'0313427573820306;0'0625472866339472;0'0389030936035966;0'90604947738004;0'166496956273127
31/12/1979;3140;23124;0'00554661559397367;0'267460698503841;0'0470208118467162;0'0795729038228808;0'0488425349834037;0'63884741111425;0'190369679994081
31/12/1980;3048;26172;0'0187402405250227;0'201385012299792;0'0487398235668169;0'0780359461461441;0'0546625600881272;0'802453690625126;0'218410483125556
31/12/1981;2758;28930;0'0231394539855362;0'131939834734847;0'0342266916075976;0'0777408108821653;0'0621181122922012;1;0'232787394493397
31/12/1982;3053;31983;0'0175283625031399;0'0794736045799077;0'0364196832582892;0'0810048022287443;0'0654484152026604;0'974171677630251;0'245018711947269
31/12/1983;3081;35064;0'055133130564333;0'0631586387600496;0'050535606684126;0'0882141976707227;0'0817726425112781;0'911013358085476;0'244048327915606
31/12/1984;3202;38266;0'0752181588472975;0'117082265057907;0'0720749904313297;0'09935308635726;0'103305022555476;0'807821138867589;0'259448519463626
31/12/1985;2935;41201;0'11449190150406;0'134429548534763;0'0885608135101209;0'111311138992838;0'104371907944545;0'669114976391299;0'297437514153946
31/12/1986;3178;44379;0'170550877529344;0'137879749118598;0'114566289842751;0'125296044157669;0'120251802145973;0'750312764841196;0'346070036028137
31/12/1987;3176;47555;0'26361365793713;0'183093026430337;0'133518811292716;0'139951423949995;0'144827980112739;0'771136849751806;0'401673877952686
31/12/1988;2702;50257;0'207621325792232;0'226535633069259;0'154751109451086;0'151502167657016;0'169234194036738;0'631704265708866;0'441908366769036
31/12/1989;2408;52665;0'249805864216239;0'237510244922222;0'159430826793963;0'158403899005329;0'188705167492286;0'609871261955688;0'464039776003159
31/12/1990;2391;55056;0'167722541733269;0'560107609811136;0'17821645390217;0'168238181743557;0'196944492925919;0'451471003672465;0'505626245341444
31/12/1991;2177;57233;0'118077851040837;0'535804723142703;0'170772966259792;0'193726148920348;0'197028987556811;0'410549255417894;0'522483707816191
31/12/1992;1922;59155;0'106211290461969;0'487182223963341;0'189395036913077;0'196600652169411;0'220740779876346;0'260825699180758;0'281582494794331
31/12/1993;1889;61044;0'156142508604377;0'472933195533084;0'225023640991437;0'19585392431365;0'252292730751448;0'325719359134751;0'318074705397285
31/12/1994;2041;63085;0'176540238001617;0'44883828167305;0'266169772008294;0'217272494079814;0'299205944512692;0'2038419629525;0'35985677886013
31/12/1995;2183;65268;0'1798878122105;0'478281050239759;0'29251571279811;0'233673609925892;0'327929222033873;0'209572621978288;0'376771818722029
31/12/1996;2342;67610;0'225086403796952;0'507735187360396;0'32407209493759;0'254410283773812;0'357388194595746;0'243674078857097;0'395913415831136
31/12/1997;2260;69870;0'339016329784694;0'49588523551518;0'343865763870011;0'269512239163578;0'423972456524401;0'447838895839219;0'417781917358165
31/12/1998;2365;72235;0'43002444978484;0'470007883252793;0'347423951236278;0'272304122583708;0'418689872880803;0'404011461318052;0'440034549679243
31/12/1999;2418;74653;0'624899186758547;0'491479301648179;0'383586617240859;0'294741332446052;0'45191204373719;0'296823923483595;0'481657109798987
31/12/2000;2450;77103;0'892572929740359;0'514430595181167;0'426046473725696;0'321066758130755;0'498664485100676;0'0591630009282053;0'509566252969389
31/12/2001;2206;79309;0'628810271875505;0'513201614655866;0'434576844079334;0'316632152822098;0'462747029505182;0'0263126034141814;0'543508374023454
31/12/2002;2280;81589;0'489226727935663;0'535164130894725;0'386283262603508;0'310080642666967;0'495019806235232;0;0'562927820479976
31/12/2003;2652;84241;0'449381751364265;0'60247333617447;0'401812046768926;0'319005281794992;0'527538728373879;0'046410266758142;0'597677747967892
31/12/2004;2513;86754;0'499166260370291;0'690633950162984;0'484257818218189;0'371601785610183;0'599553261419118;0'14298397836878;0'641421695679066
31/12/2005;2670;89424;0'601974976799686;0'737407438203361;0'499715438636282;0'390648732349381;0'611453897552699;0'125751644537713;0'682901126785864
31/12/2006;2706;92130;0'721626426211526;0'788201817265155;0'520199082156397;0'414858555232791;0'647651185241927;0'273538076597119;0'723274983040039
31/12/2007;2645;94775;1;0'835233859197511;0'559807381950565;0'447050056110815;0'692659073190447;0'356148351426611;0'770966575149397
31/12/2008;2960;97735;0'862802964774721;0'844839108962532;0'542519865211708;0'446833968645491;0'694028140477083;0'255175753662375;0'793061177208876
31/12/2009;3000;100735;0'713002920562738;0'787464606411387;0'563362631976417;0'456607503323863;0'776685901587343;0'243109084305258;0'826969465276825
31/12/2010;3410;104145;0'682599066875897;0'92215719110669;0'680702924094609;0'545733487731117;0'808329549843851;0'320271197384882;0'870015858386677
31/12/2011;3902;108047;0'636235652577296;0'933867522002792;0'711646755755805;0'583097845523504;0'813241983331914;0'491908470882602;0'872501374895442
31/12/2012;4483;112530;0'48957035173738;0'951421149435946;0'718536370842365;0'608314938654389;0'774461806280826;0'410589612171597;0'898822079685734
31/12/2013;5195;117725;0'52591408786549;0'955562147258089;0'741668403797333;0'644626247896156;0'778240889846801;0'377174220105735;0'914876572145927
31/12/2014;5839;123564;0'606839646701785;1;0'770887700946021;0'686775855138708;0'821953220264711;0'371322490818839;0'91857028758744
31/12/2015;7099;130663;0'97486921430349;0'968994432231339;0'805036186563461;0'74309274645576;0'836221898039533;0'435974010250615;0'936868865232631
31/12/2016;9131;139794;0'755495806918046;0'974852193163137;0'849267392866571;0'799276917099702;0'870840266378453;0'548407926066427;0'951226538480853
31/12/2017;11476;151270;0'706006558729203;0'981282208464831;0'883176019173622;0'862539964521534;0'958096269351283;0'56144315751241;0'993866392128362
31/12/2018;11227;162497;0'578340697447438;0'975042944619775;0'920707091587407;0'925795593485307;0'99839720719269;0'370676782759595;1
31/12/2019;11377;173874;0'502249797269798;0'97705911541592;1;1;1;0'369304653133702;0'981697643536399
