Series Code;A01B.P.Y;CM.MKT.TRAD.GD.ZS;IS.AIR.DPRT;IS.AIR.PSGR;IS.AIR.GOOD.MT.K1;MS.MIL.MPRT.KD;AG.LND.CROP.ZS;AG.LND.ARBL.HA.PC;AG.LND.ARBL.ZS;AG.LND.AGRI.K2;AG.LND.AGRI.ZS;AG.LND.CREL.HA;SP.DYN.CBRT.IN;SP.DYN.AMRT.FE;SP.DYN.AMRT.MA;SP.POP.DPND;SE.PRM.CMPT.ZS;SP.DYN.TFRT.IN
YR1975;2656;6,061555966;9244700;432276500;17236,20014;35207000000;0,826566757;0,280222496;10,01884261;39375239,4;37,35700764;577997250;28,98267745;198,1606417;262,606808;74,91116896;75,6375885;4,15688867
YR1976;3053;6,807659827;9562900;471773396;19300,30038;32681000000;0,840511324;0,276443775;10,06721962;39376387,43;37,35817126;588954609;28,14785139;193,3921461;257,8889838;74,49228906;76,16310883;4,040382918
YR1977;3124;6,170501841;9915900;513269292;21322,80009;37202000000;0,853798379;0,271278728;10,05772188;39379694,07;37,36135804;583008670;27,82243409;188,4355529;253,3589673;73,88488345;76,86759949;3,936737207
YR1978;3215;7,602881079;10183700;576090004;23579,89978;40233000000;0,865446343;0,268580591;10,13754453;39533523,1;37,50730284;580794013;27,55209918;185,6801817;251,6310978;73,12285093;77,36798096;3,843072253
YR1979;3140;6,921860957;10653400;648400600;25626,69971;33612000000;0,878474766;0,264765599;10,17555888;39606129,1;37,57619824;575497766;27,41336404;182,6887535;249,9044181;72,25748907;77,75660706;3,77341512
YR1980;3048;8,968251442;10704900;641872888;26825,20036;37666000000;0,893777899;0,260889286;10,20780693;39753927,48;37,71651813;584934803;27,42145294;179,8981178;248,2178554;71,33943639;78,7359314;3,713652391
YR1981;2758;9,650589208;10270100;640619400;28360,5003;42561000000;0,901624028;0,255995704;10,19898557;39773318,9;37,73488709;595193203;27,89178899;176,6548352;245,5527165;70,52230133;79,40554047;3,656614012
YR1982;3053;8,780283717;10335800;654482108;29046,29979;41921000000;0,908299211;0,253871038;10,30291747;39925312,3;37,8791733;585551387;28,09187402;173,2808914;242,625018;69,71259828;79,76966095;3,627155101
YR1983;3081;14,61295214;10758700;685101596;32407,89991;40356000000;0,907769628;0,25027548;10,34455333;40004627,8;37,95443835;578693906;27,4871068;171,1326658;240,2330545;68,91603139;80,258461;3,5945681
YR1984;3202;17,72823024;11404000;732410288;36841,9996;37799000000;0,916174208;0,249968091;10,51805198;40305203,8;38,2401504;590946786;27,22154511;169,0102112;238,003506;68,13998839;81,23519135;3,564195128
YR1985;2935;23,81976412;11897900;783198104;37061,70017;34362000000;0,936906518;0,248609921;10,61510989;40591354,57;38,51167666;595331876;27,25377864;166,6694955;234,402472;67,40042356;81,62239838;3,535984167
YR1986;3178;32,51476309;12677000;842594296;40331,80009;36374000000;0,963447481;0,245115901;10,65685063;40601740,92;38,52149432;594791616;27,33207123;163,7314836;229,8108544;67,08257029;81,76159668;3,499524247
YR1987;3176;46,94921831;13244800;904838104;45392,70014;36890000000;0,993793008;0,240595744;10,65288355;40760853,6;38,67248782;578047181;27,27549015;161,5748968;227,2538056;66,72386658;81,57611084;3,455160571
YR1988;2702;38,26455611;13880900;953896012;50418,59999;33435000000;1,015750786;0,235770399;10,63030004;40897037;38,8016976;579687911;26,79049499;160,1307084;226,3769916;66,34466911;81,52226257;3,398938314
YR1989;2408;44,80756749;14021100;983208800;54428,20029;32894000000;1,027828895;0,231798483;10,63975566;40995148,4;38,89514765;595274958;26,27383124;158,8076806;226,2011217;65,94247836;81,0851593;3,324349664
